,quotedate,expiration,strike,impliedvol,delta
444007,2020-03-18,2020-04-17,336.0,0.6069,-0.9629
444009,2020-03-18,2020-04-17,337.0,0.6069,-0.9641
444011,2020-03-18,2020-04-17,338.0,0.6069,-0.9652
444013,2020-03-18,2020-04-17,339.0,0.6069,-0.9663
444015,2020-03-18,2020-04-17,340.0,0.6069,-0.9673
444017,2020-03-18,2020-04-17,341.0,0.6069,-0.9683
444019,2020-03-18,2020-04-17,342.0,0.6069,-0.9693
444021,2020-03-18,2020-04-17,343.0,0.6069,-0.9703
444023,2020-03-18,2020-04-17,344.0,0.6069,-0.9712
444025,2020-03-18,2020-04-17,345.0,0.6069,-0.972
444027,2020-03-18,2020-04-17,346.0,0.6069,-0.9729
444029,2020-03-18,2020-04-17,347.0,0.6069,-0.9737
444031,2020-03-18,2020-04-17,348.0,0.6069,-0.9745
444033,2020-03-18,2020-04-17,349.0,0.6069,-0.9752
444035,2020-03-18,2020-04-17,350.0,0.6069,-0.9759
444037,2020-03-18,2020-04-17,351.0,0.6069,-0.9766
444039,2020-03-18,2020-04-17,352.0,0.6069,-0.9773
444041,2020-03-18,2020-04-17,353.0,0.6069,-0.978
444043,2020-03-18,2020-04-17,354.0,0.6069,-0.9786
444045,2020-03-18,2020-04-17,355.0,0.6069,-0.9792
444047,2020-03-18,2020-04-17,356.0,0.6069,-0.9798
444049,2020-03-18,2020-04-17,357.0,0.6069,-0.9803
444051,2020-03-18,2020-04-17,358.0,0.6069,-0.9808
444053,2020-03-18,2020-04-17,359.0,0.6069,-0.9814
444055,2020-03-18,2020-04-17,360.0,0.6069,-0.9818
444057,2020-03-18,2020-04-17,361.0,0.6069,-0.9823
444059,2020-03-18,2020-04-17,362.0,0.6069,-0.9828
444061,2020-03-18,2020-04-17,363.0,0.6069,-0.9832
444063,2020-03-18,2020-04-17,364.0,0.6069,-0.9836
444065,2020-03-18,2020-04-17,365.0,0.6069,-0.9840000000000001
444067,2020-03-18,2020-04-17,366.0,0.6069,-0.9844
444069,2020-03-18,2020-04-17,367.0,0.6069,-0.9848
444071,2020-03-18,2020-04-17,368.0,0.6069,-0.9852
444073,2020-03-18,2020-04-17,369.0,0.6069,-0.9855
444075,2020-03-18,2020-04-17,370.0,0.6069,-0.9858
444077,2020-03-18,2020-04-17,371.0,0.6069,-0.9861
444079,2020-03-18,2020-04-17,372.0,0.6069,-0.9864
444081,2020-03-18,2020-04-17,373.0,0.6069,-0.9867
444083,2020-03-18,2020-04-17,374.0,0.6069,-0.987
444085,2020-03-18,2020-04-17,375.0,0.6069,-0.9873
444087,2020-03-18,2020-04-17,376.0,0.6069,-0.9875
444089,2020-03-18,2020-04-17,377.0,0.6069,-0.9878
444091,2020-03-18,2020-04-17,378.0,0.6069,-0.988
444093,2020-03-18,2020-04-17,379.0,0.6069,-0.9883
444095,2020-03-18,2020-04-17,380.0,0.6069,-0.9885
444097,2020-03-18,2020-04-17,381.0,0.6069,-0.9887
444099,2020-03-18,2020-04-17,382.0,0.6069,-0.9889
444101,2020-03-18,2020-04-17,383.0,0.6069,-0.9891
444103,2020-03-18,2020-04-17,384.0,0.6069,-0.9893
444105,2020-03-18,2020-04-17,385.0,0.6069,-0.9894
444107,2020-03-18,2020-04-17,386.0,0.6069,-0.9896
444109,2020-03-18,2020-04-17,387.0,0.6069,-0.9898
444111,2020-03-18,2020-04-17,388.0,0.6069,-0.9899
444113,2020-03-18,2020-04-17,389.0,0.6069,-0.9901
444115,2020-03-18,2020-04-17,390.0,0.6069,-0.9902
444117,2020-03-18,2020-04-17,391.0,0.6069,-0.9903
444119,2020-03-18,2020-04-17,392.0,0.6069,-0.9905
444121,2020-03-18,2020-04-17,393.0,0.6069,-0.9906
444123,2020-03-18,2020-04-17,394.0,0.6069,-0.9907
444125,2020-03-18,2020-04-17,395.0,0.6069,-0.9908
444127,2020-03-18,2020-04-17,396.0,0.6069,-0.9909
444129,2020-03-18,2020-04-17,397.0,0.6069,-0.991
444131,2020-03-18,2020-04-17,398.0,0.6069,-0.9911
444133,2020-03-18,2020-04-17,399.0,0.6069,-0.9912
444135,2020-03-18,2020-04-17,400.0,0.6069,-0.9913
444137,2020-03-18,2020-04-17,405.0,0.6069,-0.9917
444139,2020-03-18,2020-04-17,410.0,0.6069,-0.992
444141,2020-03-18,2020-04-17,415.0,0.6069,-0.9923
444143,2020-03-18,2020-04-17,420.0,0.6069,-0.9925
444145,2020-03-18,2020-04-17,425.0,0.6069,-0.9927
444147,2020-03-18,2020-04-17,430.0,0.6069,-0.9928
444149,2020-03-18,2020-04-17,435.0,0.6069,-0.9929
444151,2020-03-18,2020-04-17,440.0,0.6069,-0.993
454995,2020-03-19,2020-04-17,50.0,1.0161,0.0
454997,2020-03-19,2020-04-17,55.0,1.0161,0.0
454999,2020-03-19,2020-04-17,60.0,1.0161,0.0
455001,2020-03-19,2020-04-17,65.0,1.0161,0.0
455003,2020-03-19,2020-04-17,70.0,1.0161,0.0
455005,2020-03-19,2020-04-17,75.0,1.0161,0.0
455007,2020-03-19,2020-04-17,80.0,1.0161,0.0
455009,2020-03-19,2020-04-17,85.0,1.0161,-0.0001
455011,2020-03-19,2020-04-17,90.0,1.0161,-0.0002
455013,2020-03-19,2020-04-17,95.0,1.0161,-0.0003
455015,2020-03-19,2020-04-17,100.0,1.0161,-0.0006
455017,2020-03-19,2020-04-17,105.0,1.0161,-0.0011
455019,2020-03-19,2020-04-17,110.0,1.0161,-0.0019
455021,2020-03-19,2020-04-17,115.0,1.0161,-0.0032
455023,2020-03-19,2020-04-17,120.0,1.0161,-0.0049
455025,2020-03-19,2020-04-17,125.0,1.0161,-0.0074
455027,2020-03-19,2020-04-17,130.0,1.0161,-0.0108
455029,2020-03-19,2020-04-17,135.0,1.0161,-0.0152
455031,2020-03-19,2020-04-17,140.0,1.0161,-0.0209
455033,2020-03-19,2020-04-17,145.0,1.0161,-0.0279
455035,2020-03-19,2020-04-17,150.0,0.9992,-0.0346
455037,2020-03-19,2020-04-17,151.0,0.9966,-0.0361
455039,2020-03-19,2020-04-17,152.0,0.9937,-0.0377
455041,2020-03-19,2020-04-17,153.0,0.9904,-0.0392
455043,2020-03-19,2020-04-17,154.0,0.9869,-0.0408
455045,2020-03-19,2020-04-17,155.0,0.9831,-0.0424
455047,2020-03-19,2020-04-17,156.0,0.9806,-0.0442
455049,2020-03-19,2020-04-17,157.0,0.9762,-0.0459
455051,2020-03-19,2020-04-17,158.0,0.9731,-0.0477
455053,2020-03-19,2020-04-17,159.0,0.9697,-0.0496
455055,2020-03-19,2020-04-17,160.0,0.9667,-0.0515
455057,2020-03-19,2020-04-17,161.0,0.9634,-0.0535
455059,2020-03-19,2020-04-17,162.0,0.9605,-0.0556
455061,2020-03-19,2020-04-17,163.0,0.9579,-0.0578
455063,2020-03-19,2020-04-17,164.0,0.9544,-0.06
455065,2020-03-19,2020-04-17,165.0,0.9518,-0.0623
455067,2020-03-19,2020-04-17,166.0,0.9489,-0.0647
455069,2020-03-19,2020-04-17,167.0,0.9457,-0.0671
455071,2020-03-19,2020-04-17,168.0,0.9422,-0.0695
455073,2020-03-19,2020-04-17,169.0,0.9396,-0.0721
455075,2020-03-19,2020-04-17,170.0,0.9366,-0.0747
455077,2020-03-19,2020-04-17,171.0,0.9333,-0.0773
455079,2020-03-19,2020-04-17,172.0,0.9308,-0.0801
455081,2020-03-19,2020-04-17,173.0,0.9275,-0.0829
455083,2020-03-19,2020-04-17,174.0,0.9239,-0.0857
455085,2020-03-19,2020-04-17,175.0,0.9214,-0.0887
455087,2020-03-19,2020-04-17,176.0,0.9182,-0.0917
455089,2020-03-19,2020-04-17,177.0,0.9151,-0.0948
455091,2020-03-19,2020-04-17,178.0,0.9122,-0.098
455093,2020-03-19,2020-04-17,179.0,0.909,-0.1013
455095,2020-03-19,2020-04-17,180.0,0.9059999999999999,-0.1046
455097,2020-03-19,2020-04-17,181.0,0.9027,-0.10800000000000001
455099,2020-03-19,2020-04-17,182.0,0.8999,-0.1115
455101,2020-03-19,2020-04-17,183.0,0.8968,-0.1151
455103,2020-03-19,2020-04-17,184.0,0.8934,-0.1187
455105,2020-03-19,2020-04-17,185.0,0.8905,-0.1225
455107,2020-03-19,2020-04-17,186.0,0.8877,-0.1263
455109,2020-03-19,2020-04-17,187.0,0.8839,-0.1301
455111,2020-03-19,2020-04-17,188.0,0.8809,-0.1341
455113,2020-03-19,2020-04-17,189.0,0.8777,-0.1381
455115,2020-03-19,2020-04-17,190.0,0.8745,-0.1423
455117,2020-03-19,2020-04-17,191.0,0.8713,-0.1465
455119,2020-03-19,2020-04-17,192.0,0.8679,-0.1507
455121,2020-03-19,2020-04-17,193.0,0.8645,-0.1551
455123,2020-03-19,2020-04-17,194.0,0.8615,-0.1596
455125,2020-03-19,2020-04-17,195.0,0.858,-0.1641
455127,2020-03-19,2020-04-17,196.0,0.8547,-0.1688
455129,2020-03-19,2020-04-17,197.0,0.8512,-0.1735
455131,2020-03-19,2020-04-17,198.0,0.8479,-0.1783
455133,2020-03-19,2020-04-17,199.0,0.8447,-0.1832
455135,2020-03-19,2020-04-17,200.0,0.8413,-0.1882
455137,2020-03-19,2020-04-17,201.0,0.8379,-0.1933
455139,2020-03-19,2020-04-17,202.0,0.8345,-0.1985
455141,2020-03-19,2020-04-17,203.0,0.8311,-0.2038
455143,2020-03-19,2020-04-17,204.0,0.8274,-0.2091
455145,2020-03-19,2020-04-17,205.0,0.8240000000000001,-0.2145
455147,2020-03-19,2020-04-17,206.0,0.8204,-0.2201
455149,2020-03-19,2020-04-17,207.0,0.8170000000000001,-0.2257
455151,2020-03-19,2020-04-17,208.0,0.8133,-0.2314
455153,2020-03-19,2020-04-17,209.0,0.8095,-0.2372
455155,2020-03-19,2020-04-17,210.0,0.8062,-0.2432
455157,2020-03-19,2020-04-17,211.0,0.8021,-0.2491
455159,2020-03-19,2020-04-17,212.0,0.7984,-0.2552
455161,2020-03-19,2020-04-17,213.0,0.7948,-0.2614
455163,2020-03-19,2020-04-17,214.0,0.7912,-0.2677
455165,2020-03-19,2020-04-17,215.0,0.7876,-0.2742
455167,2020-03-19,2020-04-17,216.0,0.784,-0.2807
455169,2020-03-19,2020-04-17,217.0,0.7803,-0.2873
455171,2020-03-19,2020-04-17,218.0,0.7768,-0.294
455173,2020-03-19,2020-04-17,219.0,0.7728,-0.3008
455175,2020-03-19,2020-04-17,220.0,0.7691,-0.3077
455177,2020-03-19,2020-04-17,221.0,0.7654,-0.3147
455179,2020-03-19,2020-04-17,222.0,0.7617,-0.3218
455181,2020-03-19,2020-04-17,223.0,0.7576,-0.3289
455183,2020-03-19,2020-04-17,224.0,0.7539,-0.3363
455185,2020-03-19,2020-04-17,225.0,0.7502,-0.3437
455187,2020-03-19,2020-04-17,226.0,0.7464,-0.3511
455189,2020-03-19,2020-04-17,227.0,0.7425,-0.3587
455191,2020-03-19,2020-04-17,228.0,0.7385,-0.3664
455193,2020-03-19,2020-04-17,229.0,0.7345,-0.3742
455195,2020-03-19,2020-04-17,230.0,0.728,-0.3819
455197,2020-03-19,2020-04-17,231.0,0.7265,-0.39
455199,2020-03-19,2020-04-17,232.0,0.7224,-0.3981
455201,2020-03-19,2020-04-17,233.0,0.7182,-0.4062
455203,2020-03-19,2020-04-17,234.0,0.7139,-0.4145
455205,2020-03-19,2020-04-17,235.0,0.7093,-0.4229
455207,2020-03-19,2020-04-17,236.0,0.7051,-0.4313
455209,2020-03-19,2020-04-17,237.0,0.7003,-0.4399
455211,2020-03-19,2020-04-17,238.0,0.6964,-0.4485
455213,2020-03-19,2020-04-17,239.0,0.6921,-0.4573
455215,2020-03-19,2020-04-17,240.0,0.6877,-0.4661
455217,2020-03-19,2020-04-17,241.0,0.6832,-0.475
455219,2020-03-19,2020-04-17,242.0,0.6786,-0.4841
455221,2020-03-19,2020-04-17,243.0,0.6737,-0.4932
455223,2020-03-19,2020-04-17,244.0,0.669,-0.5024
455225,2020-03-19,2020-04-17,245.0,0.6634,-0.5119
455227,2020-03-19,2020-04-17,246.0,0.659,-0.5213
455229,2020-03-19,2020-04-17,247.0,0.654,-0.5308
455231,2020-03-19,2020-04-17,248.0,0.6499,-0.5403
455233,2020-03-19,2020-04-17,249.0,0.6408,-0.5507
455235,2020-03-19,2020-04-17,250.0,0.6399,-0.5597
455237,2020-03-19,2020-04-17,251.0,0.6311,-0.5704
455239,2020-03-19,2020-04-17,252.0,0.6274,-0.5801
455241,2020-03-19,2020-04-17,253.0,0.6222,-0.5902
455243,2020-03-19,2020-04-17,254.0,0.618,-0.6
455245,2020-03-19,2020-04-17,255.0,0.6126,-0.6103
455247,2020-03-19,2020-04-17,256.0,0.61,-0.6197
455249,2020-03-19,2020-04-17,257.0,0.6052,-0.6299
455251,2020-03-19,2020-04-17,258.0,0.599,-0.6405
455253,2020-03-19,2020-04-17,259.0,0.5936,-0.6509
455255,2020-03-19,2020-04-17,260.0,0.5884,-0.6612
455257,2020-03-19,2020-04-17,261.0,0.5825,-0.6719
455259,2020-03-19,2020-04-17,262.0,0.5818,-0.6805
455261,2020-03-19,2020-04-17,263.0,0.5714,-0.693
455263,2020-03-19,2020-04-17,264.0,0.5664,-0.7033
455265,2020-03-19,2020-04-17,265.0,0.5609,-0.7138
455267,2020-03-19,2020-04-17,266.0,0.5586,-0.7229
455269,2020-03-19,2020-04-17,267.0,0.5518,-0.7339
455271,2020-03-19,2020-04-17,268.0,0.5453,-0.7448
455273,2020-03-19,2020-04-17,269.0,0.5452,-0.7525
455275,2020-03-19,2020-04-17,270.0,0.5355,-0.7648
455277,2020-03-19,2020-04-17,271.0,0.5304,-0.7748
455279,2020-03-19,2020-04-17,272.0,0.5252,-0.7848
455281,2020-03-19,2020-04-17,273.0,0.5195,-0.7949
455283,2020-03-19,2020-04-17,274.0,0.5145,-0.8045
455285,2020-03-19,2020-04-17,275.0,0.51,-0.8137
455287,2020-03-19,2020-04-17,276.0,0.5046,-0.8232
455289,2020-03-19,2020-04-17,277.0,0.5006,-0.8318
455291,2020-03-19,2020-04-17,278.0,0.4955,-0.8408
455293,2020-03-19,2020-04-17,279.0,0.4941,-0.8476
455295,2020-03-19,2020-04-17,280.0,0.4893,-0.8561
455297,2020-03-19,2020-04-17,281.0,0.4856,-0.8638
455299,2020-03-19,2020-04-17,282.0,0.4861,-0.8689
455301,2020-03-19,2020-04-17,283.0,0.4757,-0.8798
455303,2020-03-19,2020-04-17,284.0,0.4749,-0.8853
455305,2020-03-19,2020-04-17,285.0,0.4718,-0.8917
455307,2020-03-19,2020-04-17,286.0,0.4689,-0.8979
455309,2020-03-19,2020-04-17,287.0,0.4717,-0.9009
455311,2020-03-19,2020-04-17,288.0,0.4645,-0.9088
455313,2020-03-19,2020-04-17,289.0,0.4616,-0.9143
455315,2020-03-19,2020-04-17,290.0,0.4694,-0.9144
455317,2020-03-19,2020-04-17,291.0,0.4676,-0.9191
455319,2020-03-19,2020-04-17,292.0,0.4546,-0.9286
455321,2020-03-19,2020-04-17,293.0,0.4546,-0.932
455323,2020-03-19,2020-04-17,294.0,0.4546,-0.9352
455325,2020-03-19,2020-04-17,295.0,0.4546,-0.9382
455327,2020-03-19,2020-04-17,296.0,0.4546,-0.9411
455329,2020-03-19,2020-04-17,297.0,0.4546,-0.9439
455331,2020-03-19,2020-04-17,298.0,0.4546,-0.9465
455333,2020-03-19,2020-04-17,299.0,0.4546,-0.9491
455335,2020-03-19,2020-04-17,300.0,0.4546,-0.9515
455337,2020-03-19,2020-04-17,301.0,0.4546,-0.9538
455339,2020-03-19,2020-04-17,302.0,0.4546,-0.9559
455341,2020-03-19,2020-04-17,303.0,0.4546,-0.958
455343,2020-03-19,2020-04-17,304.0,0.4546,-0.96
455345,2020-03-19,2020-04-17,305.0,0.4546,-0.9619
455347,2020-03-19,2020-04-17,306.0,0.4546,-0.9637
455349,2020-03-19,2020-04-17,307.0,0.4546,-0.9654
455351,2020-03-19,2020-04-17,308.0,0.4546,-0.9670000000000001
455353,2020-03-19,2020-04-17,309.0,0.4546,-0.9685
455355,2020-03-19,2020-04-17,310.0,0.4546,-0.9699
455357,2020-03-19,2020-04-17,311.0,0.4464,-0.9733
455359,2020-03-19,2020-04-17,312.0,0.4546,-0.9726
455361,2020-03-19,2020-04-17,313.0,0.4546,-0.9738
455363,2020-03-19,2020-04-17,314.0,0.4546,-0.975
455365,2020-03-19,2020-04-17,315.0,0.4546,-0.9761
455367,2020-03-19,2020-04-17,316.0,0.4546,-0.9771
455369,2020-03-19,2020-04-17,317.0,0.4546,-0.9781
455371,2020-03-19,2020-04-17,318.0,0.4546,-0.9790000000000001
455373,2020-03-19,2020-04-17,319.0,0.4546,-0.9799
455375,2020-03-19,2020-04-17,320.0,0.4546,-0.9807
455377,2020-03-19,2020-04-17,321.0,0.4546,-0.9815
455379,2020-03-19,2020-04-17,322.0,0.4546,-0.9822
455381,2020-03-19,2020-04-17,323.0,0.4546,-0.9829
455383,2020-03-19,2020-04-17,324.0,0.4546,-0.9836
455385,2020-03-19,2020-04-17,325.0,0.4546,-0.9842
455387,2020-03-19,2020-04-17,326.0,0.4546,-0.9848
455389,2020-03-19,2020-04-17,327.0,0.4546,-0.9853
455391,2020-03-19,2020-04-17,328.0,0.4546,-0.9858
455393,2020-03-19,2020-04-17,329.0,0.4546,-0.9863
455395,2020-03-19,2020-04-17,330.0,0.4546,-0.9868
455397,2020-03-19,2020-04-17,331.0,0.4546,-0.9872
455399,2020-03-19,2020-04-17,332.0,0.4546,-0.9876
455401,2020-03-19,2020-04-17,333.0,0.4546,-0.988
455403,2020-03-19,2020-04-17,334.0,0.4546,-0.9883
455405,2020-03-19,2020-04-17,335.0,0.4546,-0.9887
455407,2020-03-19,2020-04-17,336.0,0.4546,-0.9890000000000001
455409,2020-03-19,2020-04-17,337.0,0.4546,-0.9893
455411,2020-03-19,2020-04-17,338.0,0.4546,-0.9895
455413,2020-03-19,2020-04-17,339.0,0.4546,-0.9898
455415,2020-03-19,2020-04-17,340.0,0.4546,-0.99
455417,2020-03-19,2020-04-17,341.0,0.4546,-0.9902
455419,2020-03-19,2020-04-17,342.0,0.4546,-0.9905
455421,2020-03-19,2020-04-17,343.0,0.4546,-0.9906
455423,2020-03-19,2020-04-17,344.0,0.4546,-0.9908
455425,2020-03-19,2020-04-17,345.0,0.4546,-0.991
455427,2020-03-19,2020-04-17,346.0,0.4546,-0.9912
455429,2020-03-19,2020-04-17,347.0,0.4546,-0.9913
455431,2020-03-19,2020-04-17,348.0,0.4546,-0.9914
455433,2020-03-19,2020-04-17,349.0,0.4546,-0.9916
455435,2020-03-19,2020-04-17,350.0,0.4546,-0.9917
455437,2020-03-19,2020-04-17,351.0,0.4546,-0.9918
455439,2020-03-19,2020-04-17,352.0,0.4546,-0.9919
455441,2020-03-19,2020-04-17,353.0,0.4546,-0.992
455443,2020-03-19,2020-04-17,354.0,0.4546,-0.9921
455445,2020-03-19,2020-04-17,355.0,0.4546,-0.9922
455447,2020-03-19,2020-04-17,356.0,0.4546,-0.9923
455449,2020-03-19,2020-04-17,357.0,0.4546,-0.9924
455451,2020-03-19,2020-04-17,358.0,0.4546,-0.9924
455453,2020-03-19,2020-04-17,359.0,0.4546,-0.9925
455455,2020-03-19,2020-04-17,360.0,0.4546,-0.9925
455457,2020-03-19,2020-04-17,361.0,0.4546,-0.9926
455459,2020-03-19,2020-04-17,362.0,0.4546,-0.9927
455461,2020-03-19,2020-04-17,363.0,0.4546,-0.9927
455463,2020-03-19,2020-04-17,364.0,0.4546,-0.9927
455465,2020-03-19,2020-04-17,365.0,0.4546,-0.9928
455467,2020-03-19,2020-04-17,366.0,0.4546,-0.9928
455469,2020-03-19,2020-04-17,367.0,0.4546,-0.9929
455471,2020-03-19,2020-04-17,368.0,0.4546,-0.9929
455473,2020-03-19,2020-04-17,369.0,0.4546,-0.9929
455475,2020-03-19,2020-04-17,370.0,0.4546,-0.993
455477,2020-03-19,2020-04-17,371.0,0.4546,-0.993
455479,2020-03-19,2020-04-17,372.0,0.4546,-0.993
455481,2020-03-19,2020-04-17,373.0,0.4546,-0.993
455483,2020-03-19,2020-04-17,374.0,0.4546,-0.9931
455485,2020-03-19,2020-04-17,375.0,0.4546,-0.9931
455487,2020-03-19,2020-04-17,376.0,0.4546,-0.9931
455489,2020-03-19,2020-04-17,377.0,0.4546,-0.9931
455491,2020-03-19,2020-04-17,378.0,0.4546,-0.9931
455493,2020-03-19,2020-04-17,379.0,0.4546,-0.9931
455495,2020-03-19,2020-04-17,380.0,0.4546,-0.9931
455497,2020-03-19,2020-04-17,381.0,0.4546,-0.9932
455499,2020-03-19,2020-04-17,382.0,0.4546,-0.9932
455501,2020-03-19,2020-04-17,383.0,0.4546,-0.9932
455503,2020-03-19,2020-04-17,384.0,0.4546,-0.9932
455505,2020-03-19,2020-04-17,385.0,0.4546,-0.9932
455507,2020-03-19,2020-04-17,386.0,0.4546,-0.9932
455509,2020-03-19,2020-04-17,387.0,0.4546,-0.9932
455511,2020-03-19,2020-04-17,388.0,0.4546,-0.9932
455513,2020-03-19,2020-04-17,389.0,0.4546,-0.9932
455515,2020-03-19,2020-04-17,390.0,0.4546,-0.9932
455517,2020-03-19,2020-04-17,391.0,0.4546,-0.9932
455519,2020-03-19,2020-04-17,392.0,0.4546,-0.9933
455521,2020-03-19,2020-04-17,393.0,0.4546,-0.9933
455523,2020-03-19,2020-04-17,394.0,0.4546,-0.9933
455525,2020-03-19,2020-04-17,395.0,0.4546,-0.9933
455527,2020-03-19,2020-04-17,396.0,0.4546,-0.9933
455529,2020-03-19,2020-04-17,397.0,0.4546,-0.9933
455531,2020-03-19,2020-04-17,398.0,0.4546,-0.9933
455533,2020-03-19,2020-04-17,399.0,0.4546,-0.9933
455535,2020-03-19,2020-04-17,400.0,0.4546,-0.9933
455537,2020-03-19,2020-04-17,405.0,0.4546,-0.9933
455539,2020-03-19,2020-04-17,410.0,0.4546,-0.9933
455541,2020-03-19,2020-04-17,415.0,0.4546,-0.9933
455543,2020-03-19,2020-04-17,420.0,0.4546,-0.9933
455545,2020-03-19,2020-04-17,425.0,0.4546,-0.9933
455547,2020-03-19,2020-04-17,430.0,0.4546,-0.9933
455549,2020-03-19,2020-04-17,435.0,0.4546,-0.9933
455551,2020-03-19,2020-04-17,440.0,0.4546,-0.9933
466631,2020-03-20,2020-04-17,50.0,1.7969,-0.0004
466633,2020-03-20,2020-04-17,55.0,1.686,-0.0005
466635,2020-03-20,2020-04-17,60.0,1.5851,-0.0005
466637,2020-03-20,2020-04-17,65.0,1.6141,-0.0011
466639,2020-03-20,2020-04-17,70.0,1.5219,-0.0012
466641,2020-03-20,2020-04-17,75.0,1.4524,-0.0014
466643,2020-03-20,2020-04-17,80.0,1.4435,-0.0022
466645,2020-03-20,2020-04-17,85.0,1.3849,-0.0026
466647,2020-03-20,2020-04-17,90.0,1.3174,-0.0029
466649,2020-03-20,2020-04-17,95.0,1.2688,-0.0035
466651,2020-03-20,2020-04-17,100.0,1.2269,-0.0043
466653,2020-03-20,2020-04-17,105.0,1.1868,-0.0053
466655,2020-03-20,2020-04-17,110.0,1.1529,-0.0067
466657,2020-03-20,2020-04-17,115.0,1.1182,-0.0083
466659,2020-03-20,2020-04-17,120.0,1.0827,-0.0102
466661,2020-03-20,2020-04-17,125.0,1.0538,-0.0128
466663,2020-03-20,2020-04-17,130.0,1.0302,-0.0163
466665,2020-03-20,2020-04-17,135.0,0.9985,-0.0198
466667,2020-03-20,2020-04-17,140.0,0.9799,-0.0252
466669,2020-03-20,2020-04-17,145.0,0.9539,-0.0308
466671,2020-03-20,2020-04-17,150.0,0.9296,-0.0377
466673,2020-03-20,2020-04-17,151.0,0.9247,-0.0392
466675,2020-03-20,2020-04-17,152.0,0.9197,-0.0408
466677,2020-03-20,2020-04-17,153.0,0.9162,-0.0426
466679,2020-03-20,2020-04-17,154.0,0.9115,-0.0443
466681,2020-03-20,2020-04-17,155.0,0.9073,-0.0462
466683,2020-03-20,2020-04-17,156.0,0.9029,-0.048
466685,2020-03-20,2020-04-17,157.0,0.8982,-0.0499
466687,2020-03-20,2020-04-17,158.0,0.8947,-0.0521
466689,2020-03-20,2020-04-17,159.0,0.8895,-0.054000000000000006
466691,2020-03-20,2020-04-17,160.0,0.8855,-0.0562
466693,2020-03-20,2020-04-17,161.0,0.8818,-0.0585
466695,2020-03-20,2020-04-17,162.0,0.8778,-0.0608
466697,2020-03-20,2020-04-17,163.0,0.8736,-0.0632
466699,2020-03-20,2020-04-17,164.0,0.8697,-0.0657
466701,2020-03-20,2020-04-17,165.0,0.8655,-0.0682
466703,2020-03-20,2020-04-17,166.0,0.861,-0.0708
466705,2020-03-20,2020-04-17,167.0,0.8574,-0.0736
466707,2020-03-20,2020-04-17,168.0,0.8536,-0.0764
466709,2020-03-20,2020-04-17,169.0,0.8494,-0.0793
466711,2020-03-20,2020-04-17,170.0,0.8454,-0.0823
466713,2020-03-20,2020-04-17,171.0,0.8417,-0.0854
466715,2020-03-20,2020-04-17,172.0,0.8377,-0.0886
466717,2020-03-20,2020-04-17,173.0,0.8334,-0.0918
466719,2020-03-20,2020-04-17,174.0,0.8297,-0.0952
466721,2020-03-20,2020-04-17,175.0,0.8258,-0.0987
466723,2020-03-20,2020-04-17,176.0,0.8220000000000001,-0.1022
466725,2020-03-20,2020-04-17,177.0,0.8184,-0.106
466727,2020-03-20,2020-04-17,178.0,0.8148,-0.1098
466729,2020-03-20,2020-04-17,179.0,0.8114,-0.1138
466731,2020-03-20,2020-04-17,180.0,0.8085,-0.11800000000000001
466733,2020-03-20,2020-04-17,181.0,0.8032,-0.1218
466735,2020-03-20,2020-04-17,182.0,0.7993,-0.126
466737,2020-03-20,2020-04-17,183.0,0.7943,-0.1301
466739,2020-03-20,2020-04-17,184.0,0.7905,-0.1345
466741,2020-03-20,2020-04-17,185.0,0.7865,-0.139
466743,2020-03-20,2020-04-17,186.0,0.7825,-0.1437
466745,2020-03-20,2020-04-17,187.0,0.7786,-0.1485
466747,2020-03-20,2020-04-17,188.0,0.7747,-0.1534
466749,2020-03-20,2020-04-17,189.0,0.7711,-0.1585
466751,2020-03-20,2020-04-17,190.0,0.7683,-0.1639
466753,2020-03-20,2020-04-17,191.0,0.7628,-0.1688
466755,2020-03-20,2020-04-17,192.0,0.7587,-0.1741
466757,2020-03-20,2020-04-17,193.0,0.7543,-0.1796
466759,2020-03-20,2020-04-17,194.0,0.7502,-0.1852
466761,2020-03-20,2020-04-17,195.0,0.7462,-0.191
466763,2020-03-20,2020-04-17,196.0,0.7418,-0.1968
466765,2020-03-20,2020-04-17,197.0,0.7375,-0.2028
466767,2020-03-20,2020-04-17,198.0,0.7337,-0.209
466769,2020-03-20,2020-04-17,199.0,0.7293,-0.2152
466771,2020-03-20,2020-04-17,200.0,0.7261,-0.2219
466773,2020-03-20,2020-04-17,201.0,0.7211,-0.2283
466775,2020-03-20,2020-04-17,202.0,0.7164,-0.2349
466777,2020-03-20,2020-04-17,203.0,0.7121,-0.2418
466779,2020-03-20,2020-04-17,204.0,0.7077,-0.2487
466781,2020-03-20,2020-04-17,205.0,0.7032,-0.2559
466783,2020-03-20,2020-04-17,206.0,0.6987,-0.2631
466785,2020-03-20,2020-04-17,207.0,0.6946,-0.2706
466787,2020-03-20,2020-04-17,208.0,0.6902,-0.2782
466789,2020-03-20,2020-04-17,209.0,0.6857,-0.28600000000000003
466791,2020-03-20,2020-04-17,210.0,0.6836,-0.2943
466793,2020-03-20,2020-04-17,211.0,0.677,-0.302
466795,2020-03-20,2020-04-17,212.0,0.6724,-0.3101
466797,2020-03-20,2020-04-17,213.0,0.6682,-0.3186
466799,2020-03-20,2020-04-17,214.0,0.6636,-0.3271
